                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0008,                 3.2121,                 3.0288,                0.00333,                0.73077,                0.10444,                0.02454,                 2.7724,                 3.8891,                   3.57,                0.00052,                0.00052,                0.00052
                      2,                 2.4003,                 2.9138,                 2.5405,                 0.0014,                0.30769,                0.00262,                0.00079,                 3.7549,                 3.7699,                 3.9286,               0.001057,               0.001057,               0.001057
                      3,                 2.0556,                 2.6277,                 2.2997,                 0.0014,                0.30769,                0.00262,                0.00079,                 2.7708,                 3.2095,                 3.1356,              0.0015909,              0.0015909,              0.0015909
                      4,                 1.9012,                 2.4422,                 2.1692,                0.11625,                0.17949,                0.04213,                0.00962,                 3.6033,                 4.7317,                 4.6867,               0.001983,               0.001983,               0.001983
                      5,                 1.8675,                 2.3527,                 2.0935,                0.15011,                0.20513,                0.05401,                 0.0179,                 2.6219,                 4.4097,                 3.5525,              0.0019774,              0.0019774,              0.0019774
                      6,                 1.7807,                 2.1884,                 2.0232,                0.14562,                0.17949,                0.07788,                0.02582,                 2.5495,                 3.6421,                  3.398,              0.0019717,              0.0019717,              0.0019717
                      7,                 1.8052,                  2.203,                 2.0553,                0.20594,                0.33333,                0.15683,                 0.0577,                 2.2964,                 3.1504,                 3.4881,              0.0019661,              0.0019661,              0.0019661
                      8,                 1.6853,                 2.0203,                 1.9451,                0.54603,                0.32051,                0.33165,                0.11511,                 2.5353,                 2.7668,                 3.4331,              0.0019604,              0.0019604,              0.0019604
                      9,                 1.5873,                 1.9652,                 1.8917,                0.42783,                0.28205,                0.26191,                0.11499,                 2.3148,                 3.5277,                 3.1786,              0.0019547,              0.0019547,              0.0019547
                     10,                 1.5661,                 1.8914,                  1.841,                0.35942,                0.35897,                0.28016,                 0.1139,                 2.1637,                 2.7687,                 2.8778,              0.0019491,              0.0019491,              0.0019491
                     11,                 1.6413,                 1.8831,                 1.8565,                0.43067,                0.42308,                 0.3862,                0.14393,                 2.1218,                  2.298,                 2.7602,              0.0019434,              0.0019434,              0.0019434
                     12,                 1.5138,                 1.8403,                 1.7925,                0.48982,                 0.5047,                0.45449,                0.23192,                 1.8899,                  2.202,                 2.3952,              0.0019378,              0.0019378,              0.0019378
                     13,                  1.532,                 1.8364,                 1.7587,                0.41429,                0.44439,                0.38488,                0.15814,                 1.9293,                 2.1286,                 2.5315,              0.0019321,              0.0019321,              0.0019321
                     14,                 1.3852,                 1.6392,                 1.6909,                0.64031,                0.45651,                0.48606,                 0.2237,                 1.8097,                 2.0209,                 2.2694,              0.0019265,              0.0019265,              0.0019265
                     15,                 1.4578,                 1.7041,                 1.7311,                  0.568,                0.48718,                0.50267,                 0.2372,                  1.855,                 2.0936,                 2.3224,              0.0019208,              0.0019208,              0.0019208
                     16,                 1.4428,                 1.7004,                 1.6996,                0.63201,                0.52847,                0.56722,                0.27136,                 1.8474,                 2.0273,                 2.3097,              0.0019151,              0.0019151,              0.0019151
                     17,                  1.422,                  1.661,                 1.7145,                0.54835,                 0.5641,                 0.4758,                0.21606,                 1.9679,                 1.9706,                 2.5411,              0.0019095,              0.0019095,              0.0019095
                     18,                 1.3812,                 1.6239,                 1.6756,                0.54021,                0.48718,                0.46227,                  0.193,                  1.988,                 2.1011,                 2.3901,              0.0019038,              0.0019038,              0.0019038
                     19,                 1.4067,                 1.6547,                 1.6741,                0.56945,                0.52564,                0.52448,                0.22902,                 1.7893,                 2.0443,                 2.2595,              0.0018982,              0.0018982,              0.0018982
                     20,                 1.3864,                 1.6327,                 1.6962,                0.52136,                0.53846,                0.50336,                 0.2402,                 1.7795,                 1.7905,                 2.3109,              0.0018925,              0.0018925,              0.0018925
                     21,                 1.3648,                 1.6463,                 1.6687,                0.47023,                0.53846,                 0.5356,                0.25919,                 1.7789,                 1.7778,                 2.2979,              0.0018869,              0.0018869,              0.0018869
                     22,                 1.3637,                 1.6219,                  1.672,                0.59777,                0.57692,                0.55161,                0.27276,                  1.661,                 1.8296,                 2.2592,              0.0018812,              0.0018812,              0.0018812
                     23,                 1.2615,                 1.4959,                 1.5987,                0.67314,                0.50167,                0.52231,                0.24947,                 1.7919,                 2.0217,                 2.2918,              0.0018755,              0.0018755,              0.0018755
